"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"하은 태양광발전소","서울시 강북구 삼양로116길 11(수유동 334-15)","가동중","11","220","60","2014","2022-12-02"
"황용 태양광발전소","서울시 동대문구 경희대로1길 11(회기동 60-50)","가동중","12","220","60","2014","2022-12-02"
"시흥1햇빛발전소(시흥중학교)","서울시 금천구 시흥대로38길 60(시흥동 산24-15, 시흥중학교)","가동중","50","380","60","2014","2022-12-02"
"시흥2햇빛발전소(시흥중학교)","서울시 금천구 시흥대로38길 60(시흥동 산24-15, 시흥중학교)","가동중","50","380","60","2014","2022-12-02"
"한신대학교 태양광발전소","서울시 강북구 인수봉로159(수유동 498-16, 한신대학교)","가동중","49.92","380","60","2014","2022-12-02"
"강북아리수정수센터1 태양광발전소","경기도 남양주시 고산로 171(삼패동 407-13) 강북아리수정수센터","가동중","2800","","60","2014","2022-12-02"
"강북아리수정수센터2 태양광발전소","경기도 남양주시 고산로 171(삼패동 407-13) 강북아리수정수센터","가동중","2800","","60","2014","2022-12-02"
"지축차량기지 1호기","경기도 고양시 삼송로 300(지축동 818-64) 지축차량기지","가동중","700","","60","2014","2022-12-02"
"써니 태양광발전소","서울시 중랑구 동일로152길 23-1(묵동 122-188)","가동중","11.6","220","60","2014","2022-12-02"
"바우뫼 햇빛발전소(품질시험소)","서울시 서초구 태봉로 131(우면동 15, 품질시험소)","가동중","39.6","380","60","2014","2022-12-02"
"건국대학교 상허연구관 태양광발전사업","서울시 광진구 능동로 120(화양동 1, 건국대학교상허연구관)","가동중","99.11","380","60","2015","2022-12-02"
"석관 태양광발전소","서울시 성북구 한천로80길 31(석관동 128-21)","가동중","9","220","60","2014","2022-12-02"
"화이트빌 태양광발전소","서울시 노원구 광운로19가길 24(월계동 376-16)","가동중","15","380","60","2014","2022-12-02"
"무지개언약교회 태양광발전소","서울시 관악구 봉천로41길 29(봉천동 890-3)","가동중","8.96","220","60","2016","2022-12-02"
"케이 태양광발전소","서울시 송파구 백제고분로18길 14(잠실동 317-15)","가동중","13","380","60","2014","2022-12-02"
"태영 태양광발전소","서울시 은평구 통일로88가길 3-3(불광동 391-145)","가동중","15","380","60","2014","2022-12-02"
"태양과바람에너지 태양광발전소(은평공영차고지)","서울시 은평구 수색로24길 19(수색동 414-1, 은평공영차고지)","가동중","50","380","60","2014","2022-12-02"
"고덕1호 태양광발전소","서울시 강동구 동남로83길51(고덕동 642-7)","가동중","19.75","220","60","2014","2022-12-02"
"영승 태양광발전소","서울시 송파구 석촌호수로12길51(잠실동 221-3)","가동중","15","220","60","2014","2022-12-02"
"목동 태양광발전소","서울시 양천구 목동중앙본로7길 46(목동 718-11)","가동중","19.75","220","60","2014","2022-12-02"
"서울나눔발전소7호(영등포아리수정수센터)","서울시 영등포구 노들로 11(양화동 1-29, 영등포아리수정수센터)","가동중","99.75","380","60","2014","2022-12-02"
